17:29:00  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  238
17:29:00  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  239
17:29:00  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  240
17:29:00  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  241
17:29:00  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  242
17:29:00  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  243
17:29:00  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  244
17:29:00  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  245
17:29:00  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  246
17:29:00  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  247
17:29:00  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\code\dependencies\mygui_3.2.0\myguiengine\include\MyGUI_Align.h  |  248
17:29:00  |  Core  |  Info  |  Load ini file 'MyGUI_BlackOrangeTheme.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:00  |  Core  |  Info  |  Load ini file 'MyGUI_BlackOrangeImages.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:00  |  Core  |  Info  |  Load ini file 'MyGUI_BlackOrangeSkins.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:01  |  Core  |  Info  |  Load ini file 'MyGUI_BlackOrangeTemplates.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:01  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:01  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:01  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
17:29:01  |  Core  |  Info  |  Gui successfully initialized  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  133
